County	Manor	Estate	start	end	wheat_gross_yield_per_seed_ratio
Hampshire	Alresford	Bishop of Winchester	1456	1457	
Hampshire	Alresford	Bishop of Winchester	1457	1458	
Berkshire	Brightwell	Bishop of Winchester	1349	1350	3.34
Berkshire	Brightwell	Bishop of Winchester	1350	1351	3.62
Berkshire	Brightwell	Bishop of Winchester	1351	1352	3.61
Berkshire	Brightwell	Bishop of Winchester	1352	1353	5.43
Berkshire	Brightwell	Bishop of Winchester	1353	1354	
Berkshire	Brightwell	Bishop of Winchester	1354	1355	3.91
Berkshire	Brightwell	Bishop of Winchester	1355	1356	4.75
Berkshire	Brightwell	Bishop of Winchester	1356	1357	3.51
Berkshire	Brightwell	Bishop of Winchester	1357	1358	5.79
Berkshire	Brightwell	Bishop of Winchester	1358	1359	4.15
Berkshire	Brightwell	Bishop of Winchester	1359	1360	6.12
Berkshire	Brightwell	Bishop of Winchester	1360	1361	5.46
Berkshire	Brightwell	Bishop of Winchester	1361	1362	3.86
Berkshire	Brightwell	Bishop of Winchester	1362	1363	5.52
Berkshire	Brightwell	Bishop of Winchester	1363	1364	3.23
Berkshire	Brightwell	Bishop of Winchester	1364	1365	8.8
Berkshire	Brightwell	Bishop of Winchester	1365	1366	
Berkshire	Brightwell	Bishop of Winchester	1366	1367	
Berkshire	Brightwell	Bishop of Winchester	1367	1368	6.98
Berkshire	Brightwell	Bishop of Winchester	1368	1369	5.17
Berkshire	Brightwell	Bishop of Winchester	1369	1370	5.56
Berkshire	Brightwell	Bishop of Winchester	1370	1371	6.86
Berkshire	Brightwell	Bishop of Winchester	1371	1372	5.38
Berkshire	Brightwell	Bishop of Winchester	1372	1373	7.27
Berkshire	Brightwell	Bishop of Winchester	1373	1374	4.01
Berkshire	Brightwell	Bishop of Winchester	1374	1375	4.01
Berkshire	Brightwell	Bishop of Winchester	1375	1376	6.45
Berkshire	Brightwell	Bishop of Winchester	1376	1377	6.18
Berkshire	Brightwell	Bishop of Winchester	1377	1378	5.97
Berkshire	Brightwell	Bishop of Winchester	1378	1379	5.62
Berkshire	Brightwell	Bishop of Winchester	1379	1380	
Berkshire	Brightwell	Bishop of Winchester	1380	1381	6.9
Berkshire	Brightwell	Bishop of Winchester	1381	1382	4.48
Berkshire	Brightwell	Bishop of Winchester	1382	1383	8.21
Berkshire	Brightwell	Bishop of Winchester	1383	1384	6.15
Berkshire	Brightwell	Bishop of Winchester	1384	1385	5.37
Berkshire	Brightwell	Bishop of Winchester	1385	1386	6.2
Berkshire	Brightwell	Bishop of Winchester	1386	1387	8.06
