The entries matching your request:  (A maximun result of 3000 entries is viewable at anyone time)
county name,manor name,estate name,start year,end year,wheat gross yield per seed ratio,barley gross yield per seed ratio,dredge gross yield per seed ratio,oats gross yield per seed ratio,source
Berkshire,Billingbear,Bishop of Winchester,1404,1405,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1405,1406,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1406,1407,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1407,1408,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1408,1409,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1409,1410,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1410,1411,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1411,1412,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1412,1413,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1413,1414,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1414,1415,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1415,1416,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1416,1417,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1417,1418,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1418,1419,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1419,1420,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1420,1421,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1421,1422,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1422,1423,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1423,1424,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1424,1425,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1425,1426,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1426,1427,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1427,1428,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1428,1429,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1429,1430,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1430,1431,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1431,1432,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1432,1433,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1433,1434,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1434,1435,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1435,1436,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1436,1437,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1437,1438,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1438,1439,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1439,1440,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1440,1441,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1441,1442,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1442,1443,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1443,1444,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1444,1445,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1445,1446,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1446,1447,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1447,1448,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1448,1449,,,,,Titow (to 1349); Farmer (from 1350)
