The entries matching your request:  (A maximun result of 3000 entries is viewable at anyone time)
county name,manor name,estate name,start year,end year,wheat gross yield per seed ratio,barley gross yield per seed ratio,dredge gross yield per seed ratio,oats gross yield per seed ratio,source
Hampshire,Alresford,Bishop of Winchester,1313,1314,4.39,4.57,,2.23,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1314,1315,3.04,3.29,,2.27,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1315,1316,3.2,3.69,,2.39,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1316,1317,4.06,3.57,,2.48,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1317,1318,6.08,4.69,,2.66,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1319,1320,6.65,9.69,,3.42,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1323,1324,5.28,3.5,,3.28,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1324,1325,6.5,3.65,,2.43,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1325,1326,5.5,3.04,,2.19,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1326,1327,4.43,4.19,,3.56,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1327,1328,3.98,3.08,,2.93,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1328,1329,4.43,3.48,,1.98,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1329,1330,3.89,1.15,,1.8,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1330,1331,3.51,2.38,,1.64,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1331,1332,3.92,3.52,,2.17,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1334,1335,2.88,,,1.97,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1335,1336,6.49,3,,1.55,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1336,1337,5.32,3.25,,1.92,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1337,1338,5.56,4.89,,2.26,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1338,1339,2.45,2.98,,1.46,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1339,1340,4.56,2.91,,1.43,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1340,1341,1.5,2.21,,1.83,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1341,1342,3.46,3.19,,2.36,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1342,1343,3.4,1.78,,1.68,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1343,1344,4.82,3.4,,1.5,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1344,1345,5,1.97,,1.53,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1345,1346,4.33,3.08,,2.81,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1346,1347,3.45,3.04,,3.07,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1347,1348,3.73,3.36,,3,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1348,1349,1.59,1.26,,1.41,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1349,1350,2.89,2.59,,1.17,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1350,1351,3.09,2.91,,1.93,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1351,1352,4.25,1.43,,1.36,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1352,1353,3.17,3.49,,2.51,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1353,1354,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1354,1355,2.83,3.33,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1355,1356,2.62,0.96,,0.88,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1356,1357,3.66,1.84,,3.45,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1357,1358,4.37,3.38,,3.03,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1358,1359,3.39,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1359,1360,2.93,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1360,1361,4.39,2.09,,1.66,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1361,1362,0.97,2.23,,2.86,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1362,1363,2.51,3.51,,2.14,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1363,1364,3,3.29,,2.07,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1364,1365,2.23,3.62,,2.16,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1365,1366,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1366,1367,1.94,1.77,,1.78,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1367,1368,3.23,3.6,,2.71,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1368,1369,2.21,4.06,,2.38,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1369,1370,3.84,4.37,,2.17,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1370,1371,3.47,6.29,,2.44,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1371,1372,,4.69,,2.36,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1372,1373,,,,2.83,Titow (to 1349); Farmer (from 1350)
